Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Nedbør (døgn)
Narvik Sentrum;SN84701;15.10.2020;6,7;0,3
Narvik Sentrum;SN84701;16.10.2020;7,2;2,1
Narvik Sentrum;SN84701;17.10.2020;7,6;16,5
Narvik Sentrum;SN84701;18.10.2020;3,6;6
Narvik Sentrum;SN84701;19.10.2020;4,1;0
Narvik Sentrum;SN84701;20.10.2020;3,2;0
Narvik Sentrum;SN84701;21.10.2020;3,5;0
Narvik Sentrum;SN84701;22.10.2020;1,8;0
Narvik Sentrum;SN84701;23.10.2020;2,2;0
Narvik Sentrum;SN84701;24.10.2020;4,2;0
Narvik Sentrum;SN84701;25.10.2020;5,6;1,1
Narvik Sentrum;SN84701;26.10.2020;8,6;1,6
Narvik Sentrum;SN84701;27.10.2020;4,2;0
Narvik Sentrum;SN84701;28.10.2020;4,1;0
Narvik Sentrum;SN84701;29.10.2020;3,6;0
Narvik Sentrum;SN84701;30.10.2020;3,3;0,4
Narvik Sentrum;SN84701;31.10.2020;4,1;0
Narvik Sentrum;SN84701;01.11.2020;7,7;0
Narvik Sentrum;SN84701;02.11.2020;12,6;0
Narvik Sentrum;SN84701;03.11.2020;8,4;12,5
Narvik Sentrum;SN84701;04.11.2020;9,7;0
Narvik Sentrum;SN84701;05.11.2020;8;2,6
Narvik Sentrum;SN84701;06.11.2020;10,1;5,7
Narvik Sentrum;SN84701;07.11.2020;8,6;15,4
Narvik Sentrum;SN84701;08.11.2020;5,7;4,4
Narvik Sentrum;SN84701;09.11.2020;6,6;4
Narvik Sentrum;SN84701;10.11.2020;3,3;0
Narvik Sentrum;SN84701;11.11.2020;4,4;0
Narvik Sentrum;SN84701;12.11.2020;5,7;0
Narvik Sentrum;SN84701;13.11.2020;3,9;0
Narvik Sentrum;SN84701;14.11.2020;6,3;0
Narvik Sentrum;SN84701;15.11.2020;11;0
Narvik Sentrum;SN84701;16.11.2020;13,8;1,9
Narvik Sentrum;SN84701;17.11.2020;14,4;0
Narvik Sentrum;SN84701;18.11.2020;10,9;0
Narvik Sentrum;SN84701;19.11.2020;1,9;6,7
Narvik Sentrum;SN84701;20.11.2020;2,6;3,7
Narvik Sentrum;SN84701;21.11.2020;4,2;0,2
Narvik Sentrum;SN84701;22.11.2020;5,2;0
Narvik Sentrum;SN84701;23.11.2020;3,9;0
Narvik Sentrum;SN84701;24.11.2020;2,3;1,5
Narvik Sentrum;SN84701;25.11.2020;2,2;0
Narvik Sentrum;SN84701;26.11.2020;1;0
Narvik Sentrum;SN84701;27.11.2020;4,6;0
Narvik Sentrum;SN84701;28.11.2020;5,9;0,3
Narvik Sentrum;SN84701;29.11.2020;9,5;0,2
Narvik Sentrum;SN84701;30.11.2020;8,7;0,2
Narvik Sentrum;SN84701;01.12.2020;3,1;2,8
Narvik Sentrum;SN84701;02.12.2020;6,9;0
Narvik Sentrum;SN84701;03.12.2020;6,6;0,3
Narvik Sentrum;SN84701;04.12.2020;6,9;0,3
Narvik Sentrum;SN84701;05.12.2020;2,4;0
Narvik Sentrum;SN84701;06.12.2020;1,7;0,5
Narvik Sentrum;SN84701;07.12.2020;1,7;0
Narvik Sentrum;SN84701;08.12.2020;2;0
Narvik Sentrum;SN84701;09.12.2020;2,9;0
Narvik Sentrum;SN84701;10.12.2020;3,5;0,5
Narvik Sentrum;SN84701;11.12.2020;-0,7;0,2
Narvik Sentrum;SN84701;12.12.2020;-0,6;0
Narvik Sentrum;SN84701;13.12.2020;-1,8;0
Narvik Sentrum;SN84701;14.12.2020;2,4;0
Narvik Sentrum;SN84701;15.12.2020;1,3;0
Narvik Sentrum;SN84701;16.12.2020;2,4;0
Narvik Sentrum;SN84701;17.12.2020;1,9;0
Narvik Sentrum;SN84701;18.12.2020;-0,8;0
Narvik Sentrum;SN84701;19.12.2020;0,1;0
Narvik Sentrum;SN84701;20.12.2020;2,7;0,5
Narvik Sentrum;SN84701;21.12.2020;8,6;2,1
Narvik Sentrum;SN84701;22.12.2020;5,8;0
Narvik Sentrum;SN84701;23.12.2020;1,6;0
Narvik Sentrum;SN84701;24.12.2020;2;0
Narvik Sentrum;SN84701;25.12.2020;-1,9;0,2
Narvik Sentrum;SN84701;26.12.2020;-2,7;0
Narvik Sentrum;SN84701;27.12.2020;-6,4;0
Narvik Sentrum;SN84701;28.12.2020;7,8;0
Narvik Sentrum;SN84701;29.12.2020;5,3;0
Narvik Sentrum;SN84701;30.12.2020;2,1;0
Narvik Sentrum;SN84701;31.12.2020;1,7;0
Narvik Sentrum;SN84701;01.01.2021;2,9;0
Narvik Sentrum;SN84701;02.01.2021;0,4;0
Narvik Sentrum;SN84701;03.01.2021;2,7;0
Narvik Sentrum;SN84701;04.01.2021;5,2;0
Narvik Sentrum;SN84701;05.01.2021;4,8;0,5
Narvik Sentrum;SN84701;06.01.2021;3,5;0,7
Narvik Sentrum;SN84701;07.01.2021;0,1;0
Narvik Sentrum;SN84701;08.01.2021;-6,2;0
Narvik Sentrum;SN84701;09.01.2021;-6,1;0
Narvik Sentrum;SN84701;10.01.2021;-0,1;0
Narvik Sentrum;SN84701;11.01.2021;-1,2;0
Narvik Sentrum;SN84701;12.01.2021;-2,9;0
Narvik Sentrum;SN84701;13.01.2021;-3,8;0
Narvik Sentrum;SN84701;14.01.2021;0,6;0
Narvik Sentrum;SN84701;15.01.2021;3;0
Narvik Sentrum;SN84701;16.01.2021;3;0,2
Narvik Sentrum;SN84701;17.01.2021;1;0,2
Narvik Sentrum;SN84701;18.01.2021;-3,1;0
Narvik Sentrum;SN84701;19.01.2021;-4,2;0
Narvik Sentrum;SN84701;20.01.2021;-3,8;0
Narvik Sentrum;SN84701;21.01.2021;-4;0
Narvik Sentrum;SN84701;22.01.2021;-4,8;0
Narvik Sentrum;SN84701;23.01.2021;-7,3;0
Narvik Sentrum;SN84701;24.01.2021;-8,2;0
Narvik Sentrum;SN84701;25.01.2021;-8,9;0
Narvik Sentrum;SN84701;26.01.2021;-7,4;0
Narvik Sentrum;SN84701;27.01.2021;-3,6;0
Narvik Sentrum;SN84701;28.01.2021;-2,9;0
Narvik Sentrum;SN84701;29.01.2021;-7,2;0
Narvik Sentrum;SN84701;30.01.2021;-8,6;0
Narvik Sentrum;SN84701;31.01.2021;-5,8;0
Narvik Sentrum;SN84701;01.02.2021;-3,9;0
Narvik Sentrum;SN84701;02.02.2021;-2,8;0
Narvik Sentrum;SN84701;03.02.2021;-7,2;0
Narvik Sentrum;SN84701;04.02.2021;-4,6;0
Narvik Sentrum;SN84701;05.02.2021;-1,2;0
Narvik Sentrum;SN84701;06.02.2021;-0,7;0
Narvik Sentrum;SN84701;07.02.2021;0;0
Narvik Sentrum;SN84701;08.02.2021;-0,4;0,2
Narvik Sentrum;SN84701;09.02.2021;-1,9;3,3
Narvik Sentrum;SN84701;10.02.2021;-2,4;0
Narvik Sentrum;SN84701;11.02.2021;-0,8;7,5
Narvik Sentrum;SN84701;12.02.2021;1,6;3,1
Narvik Sentrum;SN84701;13.02.2021;-0,4;0,7
Narvik Sentrum;SN84701;14.02.2021;0,3;0,3
Narvik Sentrum;SN84701;15.02.2021;2,3;1,1
Narvik Sentrum;SN84701;16.02.2021;-0,5;0
Narvik Sentrum;SN84701;17.02.2021;-5,4;0
Narvik Sentrum;SN84701;18.02.2021;-7,5;0
Narvik Sentrum;SN84701;19.02.2021;-4,8;0
Narvik Sentrum;SN84701;20.02.2021;-4,4;0
Narvik Sentrum;SN84701;21.02.2021;-4,5;0
Narvik Sentrum;SN84701;22.02.2021;-2,1;3,1
Narvik Sentrum;SN84701;23.02.2021;-2,4;0
Narvik Sentrum;SN84701;24.02.2021;0,5;0
Narvik Sentrum;SN84701;25.02.2021;6,2;4,9
Narvik Sentrum;SN84701;26.02.2021;4,1;21,7
Narvik Sentrum;SN84701;27.02.2021;3,4;1,6
Narvik Sentrum;SN84701;28.02.2021;8,1;4,3
Narvik Sentrum;SN84701;01.03.2021;7,6;5,3
Narvik Sentrum;SN84701;02.03.2021;2,9;0,8
Narvik Sentrum;SN84701;03.03.2021;2,7;2,3
Narvik Sentrum;SN84701;04.03.2021;0,3;0,6
Narvik Sentrum;SN84701;05.03.2021;-1,1;0,8
Narvik Sentrum;SN84701;06.03.2021;0;4,2
Narvik Sentrum;SN84701;07.03.2021;-0,3;0,6
Narvik Sentrum;SN84701;08.03.2021;0,2;0,6
Narvik Sentrum;SN84701;09.03.2021;-2,6;0,2
Narvik Sentrum;SN84701;10.03.2021;-4,3;0
Narvik Sentrum;SN84701;11.03.2021;2,8;0
Narvik Sentrum;SN84701;12.03.2021;1,9;0
Narvik Sentrum;SN84701;13.03.2021;2,3;0,6
Narvik Sentrum;SN84701;14.03.2021;3,1;0
Narvik Sentrum;SN84701;15.03.2021;2,7;2,7
Narvik Sentrum;SN84701;16.03.2021;1,9;0
Narvik Sentrum;SN84701;17.03.2021;0,2;3,8
Narvik Sentrum;SN84701;18.03.2021;0,3;0
Narvik Sentrum;SN84701;19.03.2021;6,1;2,1
Narvik Sentrum;SN84701;20.03.2021;6;1,8
Narvik Sentrum;SN84701;21.03.2021;1,4;9
Narvik Sentrum;SN84701;22.03.2021;0,2;0
Narvik Sentrum;SN84701;23.03.2021;7;1,7
Narvik Sentrum;SN84701;24.03.2021;8;9,2
Narvik Sentrum;SN84701;25.03.2021;4,7;8,5
Narvik Sentrum;SN84701;26.03.2021;6;1,4
Narvik Sentrum;SN84701;27.03.2021;6,6;0
Narvik Sentrum;SN84701;28.03.2021;6,3;7,3
