Delivery Start (CET);Delivery End (CET);NO4 Fossil Gas (MW);NO4 Hydro Run Of River And Poundage (MW);NO4 Hydro Water Reservoir (MW);NO4 Other (MW);NO4 Other Renewable (MW);NO4 Wind Offshore (MW);NO4 Wind Onshore (MW);NO4 Total (MW)
07.01.2023 07:00:00;07.01.2023 08:00:00;202;132;2964;;34;;833;4165
07.01.2023 08:00:00;07.01.2023 09:00:00;201;131;3063;;39;;830;4264
07.01.2023 09:00:00;07.01.2023 10:00:00;201;132;3073;;42;;832;4280
07.01.2023 10:00:00;07.01.2023 11:00:00;197;132;3085;;46;;828;4288
07.01.2023 11:00:00;07.01.2023 12:00:00;197;134;3098;;46;;816;4291
07.01.2023 12:00:00;07.01.2023 13:00:00;197;133;3105;;49;;755;4239
07.01.2023 13:00:00;07.01.2023 14:00:00;196;134;3138;;44;;747;4259
07.01.2023 14:00:00;07.01.2023 15:00:00;196;135;3299;;46;;771;4447
07.01.2023 15:00:00;07.01.2023 16:00:00;197;135;3416;;44;;763;4555
07.01.2023 16:00:00;07.01.2023 17:00:00;197;136;3421;;42;;796;4592
07.01.2023 17:00:00;07.01.2023 18:00:00;198;136;3423;;45;;783;4585
07.01.2023 18:00:00;07.01.2023 19:00:00;198;135;3408;;44;;751;4536
07.01.2023 19:00:00;07.01.2023 20:00:00;198;136;3369;;43;;734;4480
07.01.2023 20:00:00;07.01.2023 21:00:00;197;142;3078;;44;;742;4203
07.01.2023 21:00:00;07.01.2023 22:00:00;197;139;3002;;43;;752;4133
07.01.2023 22:00:00;07.01.2023 23:00:00;198;135;2977;;43;;788;4141
07.01.2023 23:00:00;08.01.2023 00:00:00;198;135;2589;;47;;776;3745
08.01.2023 00:00:00;08.01.2023 01:00:00;198;131;1594;;41;;803;2767
08.01.2023 01:00:00;08.01.2023 02:00:00;198;122;1536;;43;;782;2681
08.01.2023 02:00:00;08.01.2023 03:00:00;198;120;1475;;38;;788;2619
08.01.2023 03:00:00;08.01.2023 04:00:00;198;123;1304;;39;;778;2442
08.01.2023 04:00:00;08.01.2023 05:00:00;198;111;1396;;41;;761;2507
08.01.2023 05:00:00;08.01.2023 06:00:00;199;116;1585;;39;;742;2681
08.01.2023 06:00:00;08.01.2023 07:00:00;199;123;1601;;37;;729;2689
08.01.2023 07:00:00;08.01.2023 08:00:00;199;117;1417;;35;;695;2463
08.01.2023 08:00:00;08.01.2023 09:00:00;199;125;2281;;32;;687;3324
08.01.2023 09:00:00;08.01.2023 10:00:00;199;133;2877;;33;;682;3924
08.01.2023 10:00:00;08.01.2023 11:00:00;199;140;3139;;31;;684;4193
08.01.2023 11:00:00;08.01.2023 12:00:00;200;140;3158;;30;;688;4216
08.01.2023 12:00:00;08.01.2023 13:00:00;199;144;3166;;34;;723;4266
08.01.2023 13:00:00;08.01.2023 14:00:00;199;145;3231;;36;;739;4350
08.01.2023 14:00:00;08.01.2023 15:00:00;199;144;3150;;34;;779;4306
08.01.2023 15:00:00;08.01.2023 16:00:00;198;145;3173;;36;;752;4304
08.01.2023 16:00:00;08.01.2023 17:00:00;198;147;3253;;35;;762;4395
08.01.2023 17:00:00;08.01.2023 18:00:00;195;145;3284;;32;;766;4422
